Enlace;ID;Sitio;ultima IP;IP;Mask;
Jayaque > Lourdes;#N/D;JAYAQUE;172.17.1.14;172.17.1.1;255.255.255.240;
;390406;LOURDES;172.16.1.254;172.16.1.2;255.255.255.0;
Taquillo 1 >  Jayaque;390457;TAQUILLO 1;172.17.1.22;172.17.1.17;255.255.255.248;
;#N/D;JAYAQUE;172.17.1.14;172.17.1.2;255.255.255.240;
Taquillo 2 > Taquillo 1;#N/D;Taquillo 2;172.17.0.18;172.17.0.17;255.255.255.252;
;390457;Taquillo 1;172.17.1.22;172.17.1.18;255.255.255.248;
La Caba¤a 2 > Aguilares;#N/D;La Caba¤a 2;172.17.16.142;172.17.16.141;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.41;255.255.255.0;
Taquillo 3 >  Taquillo 1;390480;Taquillo 3;172.17.0.26;172.17.0.25;255.255.255.252;
;390457;Taquillo 1;172.17.1.22;172.17.1.19;255.255.255.248;
Tunel 4 > Jayaque;#N/D;Tunel 4 ;172.17.0.34;172.17.0.33;255.255.255.252;
;390451;Jayaque 2;172.17.1.14;172.17.1.3 ;255.255.255.240;
Decameron > Acajutla;390837;Decameron;172.17.8.2;172.17.8.1;255.255.255.252;
;390803;Acajutla;172.16.3.254;172.16.3.31;255.255.255.0;
Santa B rbara > Cerro Pacho;391035;SANTA BARBARA;172.17.4.6;172.17.4.5;255.255.255.252;
;391043;Cerro Pacho;172.16.2.254;172.16.2.3;255.255.255.0;
Nueva Concepci¢n > Cerro Pacho;391001;Nueva Concepcion;172.17.4.2;172.17.4.1;255.255.255.252;
;391043;Cerro Pacho;172.16.2.254;172.16.2.2;255.255.255.0;
Torrecillas > El Delirio;3970011;cerro Torrecillas;172.17.53.30;172.17.53.1;255.255.255.224;
;390610;El Delirio;172.16.14.254;172.16.14.2;255.255.255.0;
Santa Rosa de Lima > Torrecillas;391402;Santa Rosa de Lima;172.17.53.70;172.17.53.65;255.255.255.248;
;3970011;cerro Torrecillas;172.17.53.30;172.17.53.2;255.255.255.224;
Santa Rosa de Lima 3 > Santa Rosa de Lilma;391455;Santa Rosa de Lima 3;172.17.52.2;172.17.52.1;255.255.255.252;
;391402;Santa Rosa de Lima;172.17.53.70;172.17.53.66;255.255.255.248;
La Uni¢n > Cerro Conchagua;391401;La Union;172.17.37.14;172.17.37.1;255.255.255.240;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.2;255.255.255.0;
Cant¢n el mogotillo > La Uni¢n;391432;Canton el mogotillo;172.17.36.2;172.17.36.1;255.255.255.252;
;391401;La Union;172.17.37.14;172.17.37.2;255.255.255.240;
Sol y Mar > Vistamar;#N/D;Sol y Mar ;172.17.0.38;172.17.0.37;255.255.255.252;
;#N/D;Vista mar;172.17.1.62;172.17.1.34;255.255.255.224;
Huiz£car Carretera >  El Chulo 2;#N/D; Huiz£car Carretera;172.17.0.42;172.17.0.41;255.255.255.252;
;#N/D; El Chulo 2;172.16.1.254;172.16.1.4;255.255.255.0;
Kilo_5  2 > Sonsonate 1;#N/D;Kilo_5  2 ;172.17.8.6;172.17.8.5;255.255.255.252;
