SITEID;NOMBRE DE SITIO;LATITUDE;LONGITUDE;NIC/NIS;Distribuidora;Llave Requerida;Altura;Columna1;In-Building;Support Type;Porte;Tech;Tipo de Transmision;Nombre para Propietario ;Tipo Ubicaci¢n;Propietario;Direcci¢n;Municipio
390402;CARRETERA A LA LIBERTAD I;13.628627;-89.282457;206602501;DELSUR;;60;;OUTDOOR;AUTOSOPORTADA;MEDIANO;GUL; FO;ES61403-A Carretera a la Libertad I;Co-Ubicado;SBA;Km 14 1/2 Finca  Santa FÇ, frente a Residencial El Cortijo, Municipio Nuevo  Cuscatlan, Depto. de La Libertad.;Nuevo Cuscatlan 
390101;MICRO MAFRE LA CENTROAMERICANA;13.70053;-89.22111;N/A;N/A;;20;;INDOOR;SOPORTE;PEQUE•O;2G;FO;MAFRE LA CENTROAMERICANA;Arrendado;TEM CASA DE CLIENTE;61 Av. Sur y Alameda Roosevelt,., San Salvador, El Salvador ;San Salvador
390414;LAS PILETAS;13.656255;-89.272506;507311001;DELSUR;;50;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;SV-LI-1152 Cerro Campo Electrico;Co-Ubicado;PHOENIX;Cafetal La Florida N 1, km 12 1/2 carrtera a La Libertad;Nuevo Cuscatlan 
390102;MICRO TRANSAUTO;13.674308;-89.203534;Pendiente;DELSUR;;24;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;1018 Autopista a Comalapa;Co-Ubicado;VIVA OUTDOOR;Autopista de San Salvador a Comalapa arriba de Cementerio Jardines del Recuerdo, San Salvador;San Salvador
390436;NUEVO CUSCATLAN;13.645418;-89.260528;514357101;DELSUR;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;MW;Nuevo Cuscatlan;Co-Ubicado;TETRA;Col. 7 de Marzo Calle La Ronda Block B  numero15, Municipio de Nuevo Cuscatl†n, Departamento De La Libertad;Nuevo Cuscatlan 
390201;ZACATECOLUCA;13.520206;-88.868912;215577301;DELSUR;;60;;OUTDOOR;AUTOSOPORTADA;GRAN;2G/3G/4G;FO;ZACATECOLUCA;Arrendado;TEM ARRENDADOS;Calle al Volcan, lotificaci¢n Santa Marta II, Lote 1 y 2 , a una cuadra de Hospital Nacional Santa Teresa, Municipio de  Zacatecoluca, Depto. de La Paz.;Zacatecoluca
390493;VIA DEL MAR;13.642539;-89.281344;Pendiente;N/A;;8;;OUTDOOR;AZOTEA;PEQUE•O;UL;FO;VIA DEL MAR;Co-Ubicado;IDEAS Y SERVICIOS;Parroquia San Juan de la Cruz, Avenida Las Olas Sur, Calle Mareas, Via del Mar Km 12 ´ Santa Tecla, Nuevo Cuscatlan;Nuevo Cuscatlan 
390202;EL PEDREGAL;13.465439;-89.022292;603996700;DELSUR;;41;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;FO;El Pedregal;Co-Ubicado;MECOM SA DE CV;km 46.5 carretera Litoral , Desvio Costa del Sol, Zona Franca El Pedregal, jurisdicci¢n de El Rosario, Depto de  La Paz;Rosario de La Paz
391501;SISA;13.673432;-89.274721;207058901;DELSUR;;35;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;Sisa;Sitio Propio;TEM PROPIOS;Centro Financiero Sisa, Edificio No. 3, Santa Tecla, Departamento de La Libertad;Santa Tecla
390203;SAN RAFAEL OBRAJUELOS;13.487144;-88.957857;215609201;DELSUR;SI;50;;OUTDOOR;AUTOSOPORTADA;MEDIANO;2G/3G/4G;MW;TSVTF08294 SAN RAFAEL OBRAJUELOS;Co-Ubicado;TORRECOM;Carretera Litoral km 56, Cant¢n Jalponguita, jurisdicci¢n de Santiago Nonualco, Departamento de La Paz;Santiago Nonualco
391505;FUSAL;13.663475;-89.254688;510981701;DELSUR;;35;;OUTDOOR;AZOTEA;MEDIANO;GUL;FO;Fusal (SITIO PUBLICIDAD COMERCIAL);Arrendado;TEM ARRENDADOS;Avenida El Espino y Pasaje H Norte, Lote 7-5, Urbanizaci¢n Madre Selva, Jurisdicci¢n de  Antiguo Cuscatl†n, Departamento de La Libertad;Antiguo Cuscatlan
