SITEID;Nombre de Sitio;Torrero;Nombre Torrero
3970010;POTONICO TX;TORRECOM;POTONICO TX
3970017;NODO SAN MIGUEL METROCENTRO;MOVISTAR;NODO SAN MIGUEL METROCENTRO
391399;NODO GOTERA;MOVISTAR;NODO GOTERA
390201;ZACATECOLUCA ;MOVISTAR;ZACATECOLUCA
390202;EL PEDREGAL ;MECOM SA DE CV;El Pedregal
390203;SAN RAFAEL OBRAJUELOS ;TORRECOM;TSVTF08294 SAN RAFAEL OBRAJUELOS
390204;AEROPUERTO ;MOVISTAR;AEROPUERTO
390205;COMALAPA ;SBA;ES61391-A Comalapa (ES-0001)
390206;OLOCUILTA (Nodo);MOVISTAR;TES0043 Olocuilta
390207;COSTA DEL SOL II ;SBA;ES61392-A Costa del Sol II
390208;COSTA DEL SOL III ;MECOM SA DE CV;COSTA DEL SOL III
390209;EL PLAYON ;SBA;ES61393-A El Playon
390210;COSTA DEL SOL I ;PHOENIX;SV-PA-1073 Costa del Sol I
390211;AEROPUERTO INTERNACIONAL;MOVISTAR;Aeropuerto Internacional/ Zona pasajeros
390213;SAN PEDRO MASAHUAT ;SBA;ES61395-A San Pedro Masahuat
390214;MIRAMAR;SBA;ES18DF5-A Zona Franca Miramar
390215;JERUSALEN ;SBA;ES61396-A Jerusalem
390216;CUYULTITAN;TORRECOM;TSVTF08307 CUYULTITAN
390217;SAN ANTONIO MASAHUAT;SBA;ES61397-A San Antonio Masahuat
390218;ZACATECOLUCA CATEDRAL ;MOVISTAR;ZACATECOLUCA CATEDRAL
390219;CARRETERA TECOLUCA (LA JOYA) ;PHOENIX;SV-PA-1069 La Joya
390220;COSTA DEL SOL 4 ;SBA;ES61333-A Costa del Sol
390221;SANTIAGO NONUALCO ;TORRECOM;Santiago Nonualco
390222;SAN PEDRO NONUALCO ;SBA;ES61398-A San Pedro Nonualco
390223;SAN JUAN TEZONTES;PHOENIX;SV-PA-1072 SAN JUAN TEPEZONTES
390224;SAN JUAN TALPA ;TORRECOM;TSVTF08309 SAN JUAN TALPA
390225;SAN EMIGDIO;TORRECOM;TSVTF08310 SAN EMIGDIO
390226;ZONA DE CARGA AEROPUERTO ;MOVISTAR;Zona de Carga Aeropuerto
390227;SAN LUIS LA HERRADURA ;TETRA;La Herradura
390229;LAS ISLETAS ;INTELFON;La Herradura
390230;SAN JUAN NONUALCO ;SBA;ES63872-A San Juan Nonualco
390231;ENTRE RIOS ;SBA;ES62527-A Entre Rios
390232;ZACATECOLUCA 2 ;TETRA;4-008-SV Zacatecoluca 2
390233;MONTELIMAR ;SBA;s
390234;VALLA CARRETERA A COMALAPA KM 33;COLITE EL SALVADOR;VALLA Km 33 CARR. AL AEROPUERTO
390235;ROSARIO DE LA PAZ;SBA;ES58582-A Rosario De La Paz
390236;COSTA REAL ;SBA;ES62289-B Costa Real
390237;LA PALMA SRO ;SBA;ES62290-B La Palma SRO
390238;AMATECAMPO ;SBA;ES58543-A Amatecampo (La Zunganera)
390239;HACIENDA SANTO TOMAS ;SBA;ES18E7B-A Hacienda Santo Tomas
390240;SAN FRANCISCO CHINAMECA;SBA;ES58438-A San Francisco Chinameca
390241;SAN LUIS TALPA ;SBA;ES18E7A-A San Luis Talpa
390242;SAN MARCELINO ;TETRA;PaseoÿdelÿSol
